iso_code,country,updated,confirmed,deaths
ARE,United Arab Emirates,04/10/20,331,2
ARE,United Arab Emirates,04/11/20,370,2
ARE,United Arab Emirates,04/12/20,376,4
ARE,United Arab Emirates,04/13/20,387,2
ARE,United Arab Emirates,04/14/20,398,3
ARE,United Arab Emirates,04/15/20,412,3
ARE,United Arab Emirates,04/16/20,432,5
ARE,United Arab Emirates,04/17/20,460,0
ARE,United Arab Emirates,04/18/20,0,2
ARE,United Arab Emirates,04/19/20,477,2
ARE,United Arab Emirates,04/20/20,479,4
ARE,United Arab Emirates,04/21/20,484,2
ARE,United Arab Emirates,04/22/20,490,3
ARE,United Arab Emirates,04/23/20,483,6
ARE,United Arab Emirates,04/24/20,518,4
ARE,United Arab Emirates,04/25/20,525,8
ARE,United Arab Emirates,04/26/20,532,0
ARG,Argentina,04/01/20,0,0
ARG,Argentina,04/02/20,167,7
ARG,Argentina,04/03/20,0,3
ARG,Argentina,04/04/20,132,3
ARG,Argentina,04/05/20,186,6
ARG,Argentina,04/06/20,103,3
ARG,Argentina,04/07/20,74,7
ARG,Argentina,04/08/20,87,7
ARG,Argentina,04/09/20,80,5
ARG,Argentina,04/10/20,99,14
ARG,Argentina,04/11/20,81,3
ARG,Argentina,04/12/20,162,7
ARG,Argentina,04/13/20,66,6
ARG,Argentina,04/14/20,69,3
ARG,Argentina,04/15/20,160,7
ARG,Argentina,04/16/20,0,4
ARG,Argentina,04/17/20,128,6
ARG,Argentina,04/18/20,98,7
ARG,Argentina,04/19/20,170,10
ARG,Argentina,04/20/20,102,2
ARG,Argentina,04/21/20,90,8
ARG,Argentina,04/22/20,112,9
ARG,Argentina,04/23/20,144,8
ARG,Argentina,04/24/20,147,6
ARG,Argentina,04/25/20,0,2
ARG,Argentina,04/26/20,344,18
ARM,Armenia,04/01/20,50,0
ARM,Armenia,04/02/20,39,0
ARM,Armenia,04/03/20,92,1
ARM,Armenia,04/04/20,73,3
ARM,Armenia,04/05/20,34,0
ARM,Armenia,04/06/20,52,0
ARM,Armenia,04/07/20,11,1
ARM,Armenia,04/08/20,20,0
ARM,Armenia,04/09/20,28,1
ARM,Armenia,04/10/20,40,1
ARM,Armenia,04/11/20,16,1
ARM,Armenia,04/12/20,30,2
ARM,Armenia,04/13/20,46,0
ARM,Armenia,04/14/20,26,1
ARM,Armenia,04/15/20,72,3
ARM,Armenia,04/16/20,48,1
ARM,Armenia,04/17/20,42,1
ARM,Armenia,04/18/20,47,1
ARM,Armenia,04/19/20,43,0
ARM,Armenia,04/20/20,48,2
ARM,Armenia,04/21/20,62,2
ARM,Armenia,04/22/20,72,0
ARM,Armenia,04/23/20,50,0
ARM,Armenia,04/24/20,73,3
ARM,Armenia,04/25/20,81,1
ARM,Armenia,04/26/20,69,0
ATG,Antigua and Barbuda,04/01/20,0,0
ATG,Antigua and Barbuda,04/02/20,0,0
ATG,Antigua and Barbuda,04/03/20,2,0
ATG,Antigua and Barbuda,04/04/20,6,0
ATG,Antigua and Barbuda,04/05/20,0,0
ATG,Antigua and Barbuda,04/06/20,0,0
ATG,Antigua and Barbuda,04/07/20,0,0
ATG,Antigua and Barbuda,04/08/20,0,0
ATG,Antigua and Barbuda,04/09/20,0,0
ATG,Antigua and Barbuda,04/10/20,4,2
ATG,Antigua and Barbuda,04/11/20,2,0
ATG,Antigua and Barbuda,04/12/20,0,0
ATG,Antigua and Barbuda,04/13/20,0,0
ATG,Antigua and Barbuda,04/14/20,2,0
ATG,Antigua and Barbuda,04/15/20,0,0
ATG,Antigua and Barbuda,04/16/20,0,0
ATG,Antigua and Barbuda,04/17/20,0,0
ATG,Antigua and Barbuda,04/18/20,0,0
ATG,Antigua and Barbuda,04/19/20,0,0
ATG,Antigua and Barbuda,04/20/20,0,0
ATG,Antigua and Barbuda,04/21/20,0,1
ATG,Antigua and Barbuda,04/22/20,1,0
ATG,Antigua and Barbuda,04/23/20,0,0
ATG,Antigua and Barbuda,04/24/20,0,0
ATG,Antigua and Barbuda,04/25/20,0,0
ATG,Antigua and Barbuda,04/26/20,0,0
AUS,Australia,04/01/20,150,1
AUS,Australia,04/02/20,269,1
AUS,Australia,04/03/20,248,2
AUS,Australia,04/04/20,324,7
AUS,Australia,04/05/20,139,4
AUS,Australia,04/06/20,57,2
AUS,Australia,04/07/20,100,6
AUS,Australia,04/08/20,112,3
AUS,Australia,04/09/20,96,5
AUS,Australia,04/10/20,100,2
AUS,Australia,04/11/20,86,2
AUS,Australia,04/12/20,51,3
AUS,Australia,04/13/20,33,4
AUS,Australia,04/14/20,44,0
AUS,Australia,04/15/20,50,0
AUS,Australia,04/16/20,42,2
AUS,Australia,04/17/20,39,0
AUS,Australia,04/18/20,36,4
AUS,Australia,04/19/20,53,2
AUS,Australia,04/20/20,26,1
AUS,Australia,04/21/20,13,1
AUS,Australia,04/22/20,22,3
AUS,Australia,04/23/20,7,0
AUS,Australia,04/24/20,13,1
AUS,Australia,04/25/20,20,4
AUS,Australia,04/26/20,16,2
AUT,Austria,04/01/20,564,20
AUT,Austria,04/02/20,529,18
AUT,Austria,04/03/20,418,12
AUT,Austria,04/04/20,396,10
AUT,Austria,04/05/20,241,18
AUT,Austria,04/06/20,217,18
AUT,Austria,04/07/20,314,16
AUT,Austria,04/08/20,343,23
AUT,Austria,04/09/20,329,30
AUT,Austria,04/10/20,279,22
AUT,Austria,04/11/20,312,24
AUT,Austria,04/12/20,247,18
AUT,Austria,04/13/20,130,13
AUT,Austria,04/14/20,106,18
AUT,Austria,04/15/20,191,16
AUT,Austria,04/16/20,136,9
AUT,Austria,04/17/20,78,17
AUT,Austria,04/18/20,155,21
AUT,Austria,04/19/20,59,12
AUT,Austria,04/20/20,48,9
AUT,Austria,04/21/20,73,10
AUT,Austria,04/22/20,50,1
AUT,Austria,04/23/20,91,31
AUT,Austria,04/24/20,61,14
AUT,Austria,04/25/20,83,5
AUT,Austria,04/26/20,66,23
AZE,Azerbaijan,04/01/20,25,1
AZE,Azerbaijan,04/02/20,61,0
AZE,Azerbaijan,04/03/20,41,0
AZE,Azerbaijan,04/04/20,43,0
AZE,Azerbaijan,04/05/20,78,0
AZE,Azerbaijan,04/06/20,63,2
AZE,Azerbaijan,04/07/20,57,0
AZE,Azerbaijan,04/08/20,76,1
AZE,Azerbaijan,04/09/20,105,0
AZE,Azerbaijan,04/10/20,104,1
AZE,Azerbaijan,04/11/20,65,1
AZE,Azerbaijan,04/12/20,67,1
AZE,Azerbaijan,04/13/20,40,0
AZE,Azerbaijan,04/14/20,50,1
AZE,Azerbaijan,04/15/20,49,1
AZE,Azerbaijan,04/16/20,56,0
AZE,Azerbaijan,04/17/20,30,2
AZE,Azerbaijan,04/18/20,57,0
AZE,Azerbaijan,04/19/20,33,3
AZE,Azerbaijan,04/20/20,25,1
AZE,Azerbaijan,04/21/20,38,0
AZE,Azerbaijan,04/22/20,44,1
AZE,Azerbaijan,04/23/20,38,0
AZE,Azerbaijan,04/24/20,30,0
AZE,Azerbaijan,04/25/20,44,1
AZE,Azerbaijan,04/26/20,25,0
BDI,Burundi,04/01/20,2,0
BDI,Burundi,04/02/20,0,0
BDI,Burundi,04/03/20,1,0
BDI,Burundi,04/04/20,0,0
BDI,Burundi,04/05/20,0,0
BDI,Burundi,04/06/20,0,0
BDI,Burundi,04/07/20,0,0
BDI,Burundi,04/08/20,0,0
BDI,Burundi,04/09/20,0,0
BDI,Burundi,04/10/20,0,0
BDI,Burundi,04/11/20,0,0
BDI,Burundi,04/12/20,2,0
BDI,Burundi,04/13/20,0,0
BDI,Burundi,04/14/20,0,0
BDI,Burundi,04/15/20,0,1
BDI,Burundi,04/16/20,0,0
BDI,Burundi,04/17/20,0,0
BDI,Burundi,04/18/20,1,0
BDI,Burundi,04/19/20,0,0
BDI,Burundi,04/20/20,0,0
BDI,Burundi,04/21/20,0,0
BDI,Burundi,04/22/20,0,0
BDI,Burundi,04/23/20,5,0
BDI,Burundi,04/24/20,0,0
BDI,Burundi,04/25/20,1,0
BDI,Burundi,04/26/20,3,0
BEL,Belgium,04/01/20,876,192
BEL,Belgium,04/02/20,1189,123
BEL,Belgium,04/03/20,1384,183
BEL,Belgium,04/04/20,1422,132
BEL,Belgium,04/05/20,1661,140
BEL,Belgium,04/06/20,1260,164
BEL,Belgium,04/07/20,1123,185
BEL,Belgium,04/08/20,1380,403
BEL,Belgium,04/09/20,1209,205
BEL,Belgium,04/10/20,1580,283
BEL,Belgium,04/11/20,1684,496
BEL,Belgium,04/12/20,1351,327
BEL,Belgium,04/13/20,1629,254
BEL,Belgium,04/14/20,942,303
