id,state,country,updated,confirmed,suspected,recovered,deaths
0,Shanghai,China,1/21/20,9,10,0,0
1,Yunnan,China,1/21/20,1,0,0,0
2,Beijing,China,1/21/20,10,0,0,0
3,Taiwan,Taiwan,1/21/20,1,0,0,0
4,Jilin,China,1/21/20,0,1,0,0
5,Sichuan,China,1/21/20,2,1,0,0
6,Tianjin,China,1/21/20,2,0,0,0
7,Ningxia,China,1/21/20,0,1,0,0
8,Anhui,China,1/21/20,0,3,0,0
9,Shandong,China,1/21/20,1,0,0,0
10,Guangdong,China,1/21/20,17,4,0,0
11,Guangxi,China,1/21/20,0,1,0,0
12,Jiangxi,China,1/21/20,2,0,0,0
13,Henan,China,1/21/20,1,0,0,0
14,Zhejiang,China,1/21/20,5,16,0,0
15,Hainan,China,1/21/20,0,1,0,0
16,Hubei,China,1/21/20,270,11,0,0
17,Hunan,China,1/21/20,1,0,0,0
18,Guizhou,China,1/21/20,0,1,0,0
19,Liaoning,China,1/21/20,0,1,0,0
20,Chongqing,China,1/21/20,5,0,0,0
21,Hong Kong,Hong Kong,1/21/20,0,117,0,0
22,Heilongjiang,China,1/21/20,0,1,0,0
23,0,Japan,1/21/20,1,0,0,0
24,0,Thailand,1/21/20,2,0,0,0
25,0,South Korea,1/21/20,1,0,0,0
26,Washington,United States,1/21/20,1,0,0,0
27,Anhui,China,1/22/20,1,4,0,0
28,Beijing,China,1/22/20,14,0,0,0
29,Chongqing,China,1/22/20,6,0,0,0
30,Fujian,China,1/22/20,1,0,0,0
31,Gansu,China,1/22/20,0,0,0,0
32,Guangdong,China,1/22/20,26,1,0,0
33,Guangxi,China,1/22/20,2,1,0,0
34,Guizhou,China,1/22/20,1,0,0,0
35,Hainan,China,1/22/20,4,0,0,0
36,Hebei,China,1/22/20,1,0,0,0
37,Heilongjiang,China,1/22/20,0,1,0,0
38,Henan,China,1/22/20,5,0,0,0
39,Hong Kong,Hong Kong,1/22/20,0,117,0,0
40,Hubei,China,1/22/20,444,0,0,0
41,Hunan,China,1/22/20,4,0,0,0
42,Inner Mongolia,China,1/22/20,0,0,0,0
43,Jiangsu,China,1/22/20,1,0,0,0
44,Jiangxi,China,1/22/20,2,0,0,0
45,Jilin,China,1/22/20,0,1,0,0
46,Liaoning,China,1/22/20,2,0,0,0
47,Macau,Macau,1/22/20,1,0,0,0
48,Ningxia,China,1/22/20,1,0,0,0
49,Qinghai,China,1/22/20,0,0,0,0
50,Shaanxi,China,1/22/20,0,0,0,0
51,Shandong,China,1/22/20,2,0,0,0
52,Shanghai,China,1/22/20,9,10,0,0
53,Shanxi,China,1/22/20,1,0,0,0
54,Sichuan,China,1/22/20,5,2,0,0
55,Taiwan,Taiwan,1/22/20,1,0,0,0
56,Tianjin,China,1/22/20,4,0,0,0
57,Tibet,China,1/22/20,0,0,0,0
58,Washington,United States,1/22/20,1,0,0,0
59,Xinjiang,China,1/22/20,0,0,0,0
60,Yunnan,China,1/22/20,1,0,0,0
61,Zhejiang,China,1/22/20,10,0,0,0
62,0,Japan,1/22/20,2,0,0,0
63,0,Thailand,1/22/20,2,0,0,0
64,0,South Korea,1/22/20,1,0,0,0
65,Anhui,China,1/23/20,9,4,0,0
66,Beijing,China,1/23/20,22,0,0,0
67,Chongqing,China,1/23/20,9,0,0,0
68,Fujian,China,1/23/20,5,2,0,0
69,Gansu,China,1/23/20,2,0,0,0
70,Guangdong,China,1/23/20,32,1,2,0
71,Guangxi,China,1/23/20,5,0,0,0
72,Guizhou,China,1/23/20,3,0,0,0
73,Hainan,China,1/23/20,5,32,0,0
74,Hebei,China,1/23/20,1,0,0,1
75,Heilongjiang,China,1/23/20,2,0,0,0
76,Henan,China,1/23/20,5,0,0,0
77,Hong Kong,Hong Kong,1/23/20,2,65,0,0
78,Hubei,China,1/23/20,444,0,28,17
79,Hunan,China,1/23/20,9,0,0,0
80,Inner Mongolia,China,1/23/20,0,1,0,0
81,Jiangsu,China,1/23/20,5,0,0,0
82,Jiangxi,China,1/23/20,7,0,0,0
83,Jilin,China,1/23/20,1,0,0,0
84,Liaoning,China,1/23/20,3,0,0,0
85,Macau,Macau,1/23/20,2,0,0,0
86,Ningxia,China,1/23/20,1,0,0,0
87,Qinghai,China,1/23/20,0,0,0,0
88,Shaanxi,China,1/23/20,3,1,0,0
89,Shandong,China,1/23/20,6,2,0,0
90,Shanghai,China,1/23/20,16,22,0,0
91,Shanxi,China,1/23/20,1,0,0,0
92,Sichuan,China,1/23/20,8,2,0,0
93,Taiwan,Taiwan,1/23/20,1,0,0,0
94,Tianjin,China,1/23/20,4,0,0,0
95,Tibet,China,1/23/20,0,0,0,0
96,Washington,United States,1/23/20,1,0,0,0
97,Xinjiang,China,1/23/20,2,0,0,0
98,Yunnan,China,1/23/20,2,0,0,0
99,Zhejiang,China,1/23/20,27,0,0,0
100,0,Japan,1/23/20,1,0,0,0
101,0,Thailand,1/23/20,3,0,0,0
102,0,South Korea,1/23/20,1,0,0,0
103,0,Singapore,1/23/20,1,0,0,0
104,0,Philippines,1/23/20,0,4,0,0
105,0,Malaysia,1/23/20,0,4,0,0
106,0,Vietnam,1/23/20,2,0,0,0
107,0,Australia,1/23/20,0,1,0,0
108,0,Mexico,1/23/20,0,1,0,0
109,0,Brazil,1/23/20,0,1,0,0
110,0,Colombia,1/23/20,0,1,0,0
111,Hubei,China,1/24/20,549,0,31,24
112,Guangdong,China,1/24/20,53,0,2,0
113,Zhejiang,China,1/24/20,43,0,1,0
114,Beijing,China,1/24/20,26,22,0,0
